(No modificar) Número de OT;(No modificar) Suma de comprobación de fila;(No modificar) Fecha de modificación;Número de orden de trabajo;Fecha de creación;Hora Final SLA;Tipo de incidente principal;VIP (Caso) (Caso);SLA;Walver (Caso) (Caso);Terminal;Denominación;Calle 1;Ciudad;Código postal;Domicilio de la terminal;Estado o provincia;Latitud;Longitud;Modelo del terminal;Zona de servicio
9e92676f-ea0d-ee11-8f6e-002248e0d691;LoxKlT6niiqL10JZ310VGKkOH29UwTuHjaxvtTOt/Hy+jGTTXO6tSzsII6vP3wvGVkhNuuSoR/EXHFWfHPdSLQ==;18/06/2023 15:12;OT-LAP2120501;18/06/2023 12:11;23/06/2023 11:00;Falla técnica;No;Lapos OT - Masivo Ciudad v2;No;34150033;MIA SOL;San pablo 4420;SALTA;4400;San pablo 4420;SALTA;-24,84433;-65,43553;VE_390_PP101_P250;Ciudad
1f78af41-d30d-ee11-8f6e-002248e05acc;r1wRh3B+FthRaLZUoOV3/f7JmDpYeZdnyyieVzW5hlgIz0x+mXdN3S06emabUdpNmLswilE85EQ3aad19w8mYg==;18/06/2023 12:26;OT-LAP2120485;18/06/2023 9:25;23/06/2023 11:00;Falla técnica;No;Lapos OT - Masivo Ciudad v2;No;34207826;LA COQUETA;AVENIDA PERU 761;SALTA;4400;AVENIDA PERU 761;SALTA;;;VE_390_PP101_P250;Ciudad
b1da21fc-6b0d-ee11-8f6e-002248d2defa;fizIasbPnpu14RJ4xHtx6o8x9qpwmXHrCWSyksjmoaxsZJ+0MlUTn87Vxzq41fbv2vMVjuS6mWI4v2ql38S0sA==;18/06/2023 0:07;OT-LAP2120471;17/06/2023 21:06;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Urbano v2;No;16153478;CARNICERIA SAN CAYETANO;SAN MARTIN 31;ROSARIO DE LERMA;4405;SAN MARTIN 31;SALTA;-24,98547;-65,57766;N910;Extra Rural
fddfd493-6a0d-ee11-8f6e-002248e0d691;DDNiezjv6O2AngVvj/Ra9c1CXLqBqlu/mdMjzRRwVRhUgsAKIjZ1F6EFIHibdMegBErvXO+bo+9t2i3d6lsOdw==;17/06/2023 23:56;OT-LAP2120464;17/06/2023 20:56;23/06/2023 11:00;Falla técnica;No;Lapos OT - Masivo Ciudad v2;No;16227743;MISS OLIVIA;DEAN FUNES 501;SALTA;4400;DEAN FUNES 501;SALTA;-24,78279;-65,40762;N910;Ciudad
5bdca311-5f0d-ee11-8f6e-002248e0d691;OaZ4i/8MG/H04mYCEZnZV5xJS99LWVvsA5aHZANx9V6OfkfC7VG224eU8s+HM0tRXazkKUmqGoDi1jZj0hqECQ==;17/06/2023 22:34;OT-LAP2120409;17/06/2023 19:34;28/06/2023 20:00;Falla técnica;No;Lapos OT - Masivo Extra Rural v2;No;47450873;CASA LOURDES;BELGRANO 270;EMBARCACION;4550;BELGRANO 270;SALTA;-23,32693;-64,22377;VE_390_PP101_P250;Extra Rural
40936a22-480d-ee11-8f6e-002248383caa;HWgaKfw0MSRBikiW4+uTzp0XuNoSN2I/KaQSf0R+CqT+oLgrc9FyN7FRNvcQLkiSzMi7a+67uvJVXwKW8EWq2Q==;17/06/2023 19:50;OT-LAP2120351;17/06/2023 16:50;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Rural v2;No;47460926;DESPENSA MAXI                 ;Ledesma 299;DEPARTAMENTO EL CARMEN;4603;Ledesma 299;JUJUY;;;VE_390_PP101_P250;Rural
4082001a-460d-ee11-8f6e-002248e0d68a;BI/M53wcgP3f7V7P4PV53S3FCx86T/zohdMdBOhzhLTBzIrMG0D4tfix4VM9Mh+dBZ40mcWaklPdPQmY7S5hwg==;17/06/2023 19:35;OT-LAP2120349;17/06/2023 16:35;26/06/2023 18:00;Falla técnica;No;Lapos OT - Masivo Rural v2;No;47460926;DESPENSA MAXI;Ledesma 299;DEPARTAMENTO EL CARMEN;4603;Ledesma 299;JUJUY;;;VE_390_PP101_P250;Rural
f6cd204e-450d-ee11-8f6e-002248e0d08c;poggGW1Je+UZSfckU98k3snQk+9dgaX8FDVpAhGEj90302ThYbGjdWQHRyIG42zNFDyPBVZZnnVUFjwRQloLAA==;17/06/2023 19:30;OT-LAP2120348;17/06/2023 16:29;23/06/2023 11:00;Falla técnica;No;Lapos OT - Masivo Ciudad v2;No;34244618;BURGER ZA;LOS DAMASCOS ENTRE CALLES LOS  188;SALTA;4400;LOS DAMASCOS ENTRE CALLES LOS  188;SALTA;-24,76131;-65,39448;PAX_S920;Ciudad
b6ce5b61-330d-ee11-8f6e-002248383caa;78/6eRiUJ97LVkg4xEFdsx1uusRntR1zCr+8legldFcqrUmpbfX4dUPcChCvdnfa45lYQFjlylpB7LC5pIAx4g==;17/06/2023 17:22;OT-LAP2120308;17/06/2023 14:21;23/06/2023 11:00;Pendientes de instalación;No;Lapos OT - Masivo Ciudad v2;No;16338765;SABORES BARRIO NORTE;PRES BERNARDINO RIVADAVIA 307;SAN MIGUEL DE TUCUMAN;4.000;PRES BERNARDINO RIVADAVIA 307;TUCUMAN;;;N910;Ciudad
563b7648-310d-ee11-8f6e-002248e05503;6Ik3k6cvmY7ORNtPWSZ+al4TOm4XxT7/PPKFXL65iDr43uBlrAQjUE5T82A3ZIhf5ObPjuaTexANL/mBHWYi8Q==;17/06/2023 17:06;OT-LAP2120301;17/06/2023 14:06;26/06/2023 18:00;Falla técnica;No;Lapos OT - Masivo Rural v2;No;47022818;SANDOVAL MECANICA MOTOS;SAN LORENZO 561 - B? BELGRANO;AGUILARES;4152;SAN LORENZO 561 - B? BELGRANO;TUCUMAN;-27,43942;-65,61332;VE_390_PP101_P250;Rural
1949eb24-2c0d-ee11-8f6e-002248383558;DI1+1NJeKMfLP9CE77GkxTuVGWGHzejaf1BvVImj1bcs8Yg03VT21QNtkwusPFdj8/R/1sTrAQO6QD0AiwHZHQ==;17/06/2023 16:30;OT-LAP2120289;17/06/2023 13:29;23/06/2023 11:00;Falla técnica;No;Lapos OT - Masivo Ciudad v2;No;34176680;POLLERIA J&G;MADRE TERESA DE CALCUTA  ENTRE 2491;SAN SALVADOR DE JUJUY;4600;MADRE TERESA DE CALCUTA  ENTRE 2491;JUJUY;-24,25194;-65,24919;VE_390_PP101_P250;Ciudad
53f85b0d-1f0d-ee11-8f6e-0022483839d8;jhtDf7MNAYEDini/ipsnr5gnMwWkfMO7am68Mc1Gc074yLmvF1SblAj9vNfN/rdiD2xPM2/60WnrUVwPAH/BpQ==;17/06/2023 14:56;OT-LAP2120231;17/06/2023 11:55;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Rural v2;No;16132000;Tania;SAN MARTIN 67 TV;TAFI VIEJO;4103;SAN MARTIN 67 TV;TUCUMAN;-26,73140;-65,25793;N910;Rural
9697c79b-1c0d-ee11-8f6e-002248d2defa;6xi/Bb8gPJNnIHIHqlg581M3mDEfKc658XoVIwkDd9uT/PDXBB+hZZOWfdwCY5wFTGFwCpOJC5t2l4G6I0LF3Q==;17/06/2023 14:38;OT-LAP2120217;17/06/2023 11:38;21/06/2023 11:38;Insumos papel;Sí;Lapos OT - VIP Extra Rural v2;No;16195170;OSCAR BARBIERI;JOSE LUIS BORGES 58;TAFI DEL VALLE;4137;JOSE LUIS BORGES 58;TUCUMAN;36,49819;-4,97650;N910;Extra Rural
0f549b84-120d-ee11-8f6e-002248e0d691;WrzU/l5Ji22/BpfYQjeMvH7ftUgTQyg0x87guHvPQc9i6cCD6skrYvsu9YAF5KYdgfWPadiZWCMMUxzMfi1xAQ==;17/06/2023 13:26;OT-LAP2120153;17/06/2023 10:26;26/06/2023 18:00;Falla técnica;No;Lapos OT - Masivo Rural v2;No;34149498;PANADERIA Y PASTELERIA EL MAES;LOS NOGALES  180;TARTAGAL;4560;LOS NOGALES  180;SALTA;-24,77035;-65,39571;VE_390_PP101_P250;Rural
5fb376ae-110d-ee11-8f6e-0022483839d8;ori+bCWbfljYxmLJgQl7PItxaWGHIDRU2cDndANc0Cno3HQCpjnoDpKuLHTsHt771U9dR/8sJ4vPHJcJaLaf6A==;17/06/2023 13:20;OT-LAP2120149;17/06/2023 10:20;26/06/2023 18:00;Insumos papel;No;Lapos OT - Masivo Ciudad v2;No;47043901;CALZADOS DURAN;9 DE JULIO 297;METAN;4000;9 DE JULIO 297;TUCUMAN;;;VE_390_PP101_P250;Ciudad
eb50ff97-0a0d-ee11-8f6e-002248e0d691;9Q7YWC556Cl2u5yxZ6+qJHfs2HqtVlrmWjNUa3POrpT6xtX1wlYWYxMck0hrF3rZqp4JtEZQhYfS2NzY6KbsEA==;17/06/2023 12:29;OT-LAP2120115;17/06/2023 9:29;23/06/2023 11:00;Falla técnica;No;Lapos OT - Masivo Ciudad v2;No;47045954;LA SOLANITA;Pasaje Padilla 71;SAN MIGUEL DE TUCUMAN;4000;Pasaje Padilla 71;TUCUMAN;-26,82409;-65,24159;PAX_S920;Ciudad
9b1c14e5-050d-ee11-8f6e-002248383caa;gAc89SwQ1uqvUtv04JBwdzkwExxw5OzRb+r0W3ohbmO50HDtO0grMUy3XaZDObqSiaYRw6ZX/hMre8Fr/6O/sw==;17/06/2023 11:56;OT-LAP2120105;17/06/2023 8:55;28/06/2023 20:00;Pendientes de instalación;No;Lapos OT - Masivo Extra Rural v2;No;16338758;PANADERIA MI ABUELITA;CABO ORLANDO MOYA 1;CACHI ADENTRO;4.417;CABO ORLANDO MOYA 1;SALTA;;;N910;Extra Rural
5e3fa768-de0c-ee11-8f6e-002248383caa;oWp0wpYgPOTFhqIvpR27JCPTT5Ov0cEzFEdloOLCJa04yDAuwDxxxViPfADG8THb7Z07h+ZkmY3C2XTryBQXmg==;17/06/2023 13:32;OT-LAP2120079;17/06/2023 4:13;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;34241387;SU POLLERIA;BARRIO LIMACHE ETAPA 4 MANZANA 2 CASA 5;SALTA;4400;BARRIO LIMACHE ETAPA 4 MANZANA 2 CASA 5;SALTA;-24,80358;-65,41958;PAX_S920;Ciudad
77ac8f4a-de0c-ee11-8f6e-002248383caa;Wugl4pHFMeS2PJOQ8iJLKVcJOU1e1Yb+gfY1NfNjHd8RwRJ5zBJYEzVlXoBjaPU9xIKj/hXVUp9+6BSd1s0r/A==;17/06/2023 7:12;OT-LAP2120076;17/06/2023 4:12;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16231516;COMPLEJO IBIZA;SANTA ANA 1037;SAN SALVADOR DE JUJUY;4600;SANTA ANA 1037;JUJUY;;;N910;Ciudad
dbbf4032-de0c-ee11-8f6e-002248383caa;+uY/KthYJ157gXgdnujcI2Mui/ccaKiHDteBIsjthsgxyyYoQe15qmtOY4aHPKg9nhfpkvP63Ll7uOJ8m01YQg==;17/06/2023 7:12;OT-LAP2120075;17/06/2023 4:11;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16231515;COMPLEJO IBIZA;SANTA ANA 1037;SAN SALVADOR DE JUJUY;4600;SANTA ANA 1037;JUJUY;;;N910;Ciudad
b37c1d2c-de0c-ee11-8f6e-002248383caa;gsJr4CesXw4j8FXXOtNsyluI8z6WN0UiG4Mf6MyMgKz/cPydNpjJor3Fy1itJuwMX6JETpzCKMQ03WlhieGqbg==;17/06/2023 7:11;OT-LAP2120074;17/06/2023 4:11;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16231514;COMPLEJO IBIZA;SANTA ANA 1037;SAN SALVADOR DE JUJUY;4600;SANTA ANA 1037;JUJUY;;;N910;Ciudad
83b22520-de0c-ee11-8f6e-002248383caa;rZejjkRtu8yi4fmDZmb6q+w5ztzm7Xm4mZ4hp+quVDY43+0cb6J8eyr8i9Ce53O9bppRS6up6PWT6TX4j2rRSQ==;17/06/2023 7:11;OT-LAP2120073;17/06/2023 4:11;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16231513;COMPLEJO IBIZA;SANTA ANA 1037;SAN SALVADOR DE JUJUY;4600;SANTA ANA 1037;JUJUY;;;N910;Ciudad
36d6231a-de0c-ee11-8f6e-002248383caa;qPVW9CTIokkxBcv1Zd3zko56g83z3MNzurCDaLHcehtQs+v2c3bde85sdZWUzPNRPpxgXq2Vj1VfuxeuC0RA5w==;17/06/2023 7:11;OT-LAP2120072;17/06/2023 4:10;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16231512;COMPLEJO IBIZA;SANTA ANA 1037;SAN SALVADOR DE JUJUY;4600;SANTA ANA 1037;JUJUY;;;N910;Ciudad
c5f833ea-dd0c-ee11-8f6e-002248383caa;p+yNExPhcvB5cggjNcxm4O68omZp3fsVM4TU91krWet+R9MBqjqulqNVTfY6xDclK7pm8q/nBaUn9/SsPZhKcg==;17/06/2023 13:25;OT-LAP2120067;17/06/2023 4:09;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16073527;PET LOVERS;DEAN FUNES 1505;SALTA;4400;DEAN FUNES 1505;SALTA;-24,77114;-65,40645;N910;Ciudad
94b607de-dd0c-ee11-8f6e-002248383caa;jwrSlx826xw08FEXbcwAIyRG4t43KMQo6OEwQXY1bzLa6/h/Qe8V2URox9gIuHmbDOpzWT1QMvvweqJI2q83DA==;17/06/2023 7:09;OT-LAP2120066;17/06/2023 4:09;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16052970;DESPENSA VICTORIA;CALLE TENIENTE ARRABAS ESQUINA 598;SAN SALVADOR DE JUJUY;4600;CALLE TENIENTE ARRABAS ESQUINA 598;JUJUY;-24,23751;-65,25388;N910;Ciudad
16063d4e-bc0c-ee11-8f6e-002248383caa;mOrWmS9Cwx0ZgHIboR3Y0t6YAUd6vKgqC6P2v10ZEMP5dQ15eXCjNV8TM6eZMLT/NdYm4n7m24t2ro9hw72z+A==;17/06/2023 3:09;OT-LAP2120022;17/06/2023 0:09;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16275337;GRUPO MUNDO S.R.L;san lorenzo  2051 2;SAN MIGUEL DE TUCUMAN;4000;san lorenzo  2051 2;TUCUMAN;;;N910;Ciudad
3aab56aa-bb0c-ee11-8f6e-002248383caa;dVClfIDGQLajRDIh3gG/lLuFax22EztQf8Xb7ayApWXoJg+cD6sO0CaJX8QboIpDGbIBXMhybtyTTmf1I3hMvw==;17/06/2023 3:05;OT-LAP2120010;17/06/2023 0:04;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Rural v2;No;16249364;seguros tar;gorriti 48;TARTAGAL;4560;gorriti 48;SALTA;-24,67533;-65,04353;N910;Rural
8e5e6292-bb0c-ee11-8f6e-002248383caa;NI91LIBNUXtBpMLECjqstpDRVLXd7pVXMtNI4L08qkAIPfGDBtDygGHluDvl+2BemxlA4ESMS1qpBfklqGDbJA==;17/06/2023 3:04;OT-LAP2120008;17/06/2023 0:03;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Rural v2;No;16248064;seguros aut;santa fe 1226;SAN RAMON DE LA NUEVA ORAN;4530;santa fe 1226;SALTA;;;N910;Rural
a207fe43-bb0c-ee11-8f6e-002248383caa;StdVyS88vi/ldQdv5guMv/AnwrXYhH0nShYsrMCEgFvqR1Q8oi9j7LKrH/PC3DEmv8BZFNFig3rHzDpuDKgm8A==;17/06/2023 13:30;OT-LAP2120000;17/06/2023 0:01;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16242594;linda creaciones;Florida 260 2;BARRIO 20 DE JUNIO;4400;Florida 260 2;SALTA;-24,78673;-65,41217;N910;Ciudad
1edba11f-bb0c-ee11-8f6e-002248383caa;VXJMKO4hKeO20ivdCCH0/O1+uRT6mXYRQw6gNJaM6dXmThx4QfsxG9Bq+Kjbv1aDts2lnCi+xH8bGgzuxOxZ1w==;17/06/2023 3:01;OT-LAP2119996;17/06/2023 0:00;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Rural v2;No;16234763;Vaneruiz;Ricardo Guiraldes  838;FINCA MISION ZENTA;4530;Ricardo Guiraldes  838;SALTA;;;N910;Rural
183b4b0d-bb0c-ee11-8f6e-002248383caa;kz/tSwF5Ezf+sDtCo0kbvOgU+DvkU35/oc5QPlAtUzDpkEySKFAUqWUHndmukBAWTthqeoTdiMdnRVyTYJfwpg==;17/06/2023 3:00;OT-LAP2119994;17/06/2023 0:00;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Rural v2;No;16230927;JGC SERVICIOS SRL;DR M MORENO 350;ALTO VERDE;4608;DR M MORENO 350;JUJUY;;;N910;Ciudad
bb22f0dc-ba0c-ee11-8f6e-002248383caa;otS3xnhUwb3UjmbJF/WFwJo1dZfPPvNjE6wOxMWVV5Uy9gI2UHrm25vpiqE0GJSW7uyJx2t6BXHQbU5cDb8a5w==;17/06/2023 2:59;OT-LAP2119989;16/06/2023 23:58;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Rural v2;No;16214020;El palenque;Barrio 40 vivienda 14;CORONEL MOLDES;4421;Barrio 40 vivienda 14;SALTA;-24,83716;-65,38665;N910;Rural
855be2d6-ba0c-ee11-8f6e-002248383caa;iuc+iZBm6KGnne0XqbTfxcE+TYIjwNHFb7JfcFp7BsrRA7CUhGHv4z7vMdqZRLA8ZFU0NCP9ls2xJCt12Rpo0w==;17/06/2023 2:58;OT-LAP2119988;16/06/2023 23:58;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Rural v2;No;16214019;El palenque;Barrio 40 vivienda 14;CORONEL MOLDES;4421;Barrio 40 vivienda 14;SALTA;-24,83716;-65,38665;N910;Rural
585c266f-ba0c-ee11-8f6e-002248383caa;TWtuw6fZ+Kv3KHYL3wszf7GH6H9pd7/ziV4pxbecSt3D5azF8Qt0A8JL0Lh3XTdbpTcqI8P1zk8EiDUVi2JaZg==;17/06/2023 2:55;OT-LAP2119977;16/06/2023 23:55;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Ciudad v2;No;16183328;Rios Repuestos;Santa Catalina  670 1;ALTO COMEDERO;4600;Santa Catalina  670 1;JUJUY;;;N910;Ciudad
bd5c224b-ba0c-ee11-8f6e-002248383caa;pzCa/ZPXuKd35UROaPUmFXOtk0pbfBZ6ciF0llX6FcE2robVy3auu08YvI3xtoK3QRvlnpe5ISy0RQhL7kleEQ==;17/06/2023 2:54;OT-LAP2119973;16/06/2023 23:54;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Rural v2;No;16173057;Showroom Lunah Azul;El Canal Ll 1 1;AGUA COLORADA (NUEVA CONETA,  DPTO. VALLE VIEJO);4724;El Canal Ll 1 1;CATAMARCA;;;N910;Rural
32e5e926-ba0c-ee11-8f6e-002248383caa;qkW7ChTtJ9j5wXYyQWhhrmYwcWwsH9DEtWeSwor8OrGbPWRj10IRHNyCbYtvXNL1Du5np8klky9dOZbvaPo4cA==;17/06/2023 2:54;OT-LAP2119968;16/06/2023 23:53;01/07/2023 11:00;Baja terminal;No;Lapos OT - Masivo Urbano v2;No;16162791;Pizzeria Thiago;Barrio La Esperanza Manzana F  1;BANDA VARELA;4700;Barrio La Esperanza Manzana F  1;CATAMARCA;;;N910;Urbano
